"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"431",15,"Devontez Walker",BAL,"WR149","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-142"
"432",15,"Alec Ingold",LAC,"RB118","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"433",15,"Trey Smack",GB,"K30","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"434",15,"Mitch Tinsley",CIN,"WR150","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"435",15,"Dylan Laube",LV,"RB119","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"436",15,"Patrick Ricard",NYG,"RB120","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"437",15,"Erick All Jr.",CIN,"TE63","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"438",15,"Ty Chandler",NO,"RB121","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"439",15,"Rasheen Ali",BAL,"RB122","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"440",15,"Elijah Higgins",ARI,"TE64","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"441",15,"Riley Leonard",IND,"QB46","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"442",15,"Las Vegas Raiders",LV,"DST30","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-71"
"443",15,"Miles Sanders",FA,"RB123","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"444",15,"Tyler Badie",DEN,"RB124","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"445",15,"Kevin Austin Jr.",NO,"WR151","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"446",15,"Max Bredeson",MIN,"RB125","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"447",15,"Roschon Johnson",CHI,"RB126","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"448",15,"AJ Dillon",CAR,"RB127","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"449",15,"Reggie Gilliam",NE,"RB128","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"450",15,"Tai Felton",MIN,"WR152","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"451",15,"Cyrus Allen",KC,"WR153","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"452",15,"Gardner Minshew II",ARI,"QB47","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-154"
"453",15,"Jaret Patterson",LAC,"RB129","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"454",15,"Malik Benson",LV,"WR154","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-108"
"455",15,"Mitchell Evans",CAR,"TE65","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"456",15,"Zavier Scott",MIN,"RB130","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"457",15,"Elijah Moore",PHI,"WR155","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
